"","tconst","title","year","runtime","genres","averageRating","numVotes","average_age"
"1","tt0002130","Dante's Inferno","1911","68","Adventure,Drama,Fantasy",7.1,1878,42
"2","tt0002844","Fantômas: In the Shadow of the Guillotine","1913","54","Crime,Drama",6.9,1814,30.3333333333333
"5","tt0003037","Fantomas: The Man in Black","1913","61","Crime,Drama",6.9,1267,30.3333333333333
"8","tt0003419","The Student of Prague","1913","85","Drama,Fantasy,Horror",6.6,1568,35.5
"10","tt0003643","The Avenging Conscience: or 'Thou Shalt Not Kill'","1914","78","Crime,Drama,Horror",6.9,1018,33.1666666666667
"16","tt0003740","Cabiria","1914","148","Adventure,Drama,History",6.8,2770,36
"17","tt0003930","Fantomas: The Mysterious Finger Print","1914","59","Crime,Drama",6.8,1092,31
"19","tt0004181","Judith of Bethulia","1914","61","Drama",7.2,1165,28.5
"21","tt0004707","Tillie's Punctured Romance","1914","82","Comedy",7,3102,31.5
"23","tt0004972","The Birth of a Nation","1915","195","Drama,History,War",6.6,20377,37
"24","tt0005078","The Cheat","1915","59","Drama,Romance",6.6,2164,40.6666666666667
"27","tt0005960","The Regeneration","1915","72","Biography,Crime,Drama",6.9,1023,28.5
"29","tt0006206","Les vampires","1915","421","Action,Adventure,Crime",6.9,3848,33.75
"33","tt0006333","20,000 Leagues Under the Sea","1916","105","Action,Adventure,Sci-Fi",6.9,1409,36.3333333333333
"36","tt0006864","Intolerance: Love's Struggle Throughout the Ages","1916","163","Drama,History",7.9,12790,40.5
"38","tt0008443","The Poor Little Rich Girl","1917","65","Comedy,Drama,Family",6.8,1202,44
"39","tt0008663","A Man There Was","1917","48","Drama,War",7.4,1339,36.5
"41","tt0008879","The Outlaw and His Wife","1918","136","Drama",7.2,1378,39.3333333333333
"44","tt0009369","Mickey","1918","93","Comedy,Drama",7,1026,44
"46","tt0009611","Shoulder Arms","1918","45","Comedy,War",7,5188,35.5
"54","tt0009652","Stella Maris","1918","84","Drama",7.3,1301,56
"56","tt0009878","Different from the Others","1919","50","Crime,Drama,History",6.9,1003,42.5
"58","tt0009893","The Oyster Princess","1919","58","Comedy",7.2,1505,37.3333333333333
"61","tt0009937","Blind Husbands","1919","99","Drama,Romance",6.9,1246,40
"64","tt0009968","Broken Blossoms","1919","90","Drama,Romance",7.6,8545,33.8
"69","tt0010040","Daddy-Long-Legs","1919","85","Comedy,Drama",7.4,1271,39
"70","tt0010071","Don't Change Your Husband","1919","71","Comedy",7.7,1086,44.3333333333333
"73","tt0010247","Sir Arne's Treasure","1919","122","Drama,History",7.1,1072,40.75
"77","tt0010281","I Don't Want to Be a Man","1918","45","Comedy,Romance",7,1116,39
"80","tt0010307","J'accuse!","1919","166","Drama,Horror,War",7.4,1244,49
"83","tt0010323","The Cabinet of Dr. Caligari","1920","76","Fantasy,Horror,Mystery",8.1,49739,31.3333333333333
"86","tt0010418","Male and Female","1919","116","Adventure,Drama",7.8,1645,40.75
"90","tt0010600","The Doll","1919","48","Comedy,Fantasy",7.3,1488,32
"92","tt0010806","True Heart Susie","1919","87","Comedy,Drama,Romance",7.2,1478,45.6666666666667
"95","tt0011000","Leaves From Satan's Book","1920","167","Drama",6.8,1012,46.4
"100","tt0011130","Dr. Jekyll and Mr. Hyde","1920","82","Drama,Horror,Sci-Fi",7,4310,47.6666666666667
"103","tt0011237","The Golem","1920","91","Fantasy,Horror",7.2,5734,41.3333333333333
"106","tt0011387","The Last of the Mohicans","1920","73","Action,Adventure,Drama",6.8,1013,34.5
"108","tt0011439","The Mark of Zorro","1920","107","Adventure,Romance,Western",7.2,1977,36.3333333333333
"111","tt0011565","The Penalty","1920","90","Crime,Drama,Horror",7.5,1834,38.3333333333333
"114","tt0011652","The Saphead","1920","77","Comedy",6.2,1300,51.6666666666667
"117","tt0011841","Way Down East","1920","145","Drama,Romance",7.8,4608,28.5
"119","tt0011865","Why Change Your Wife?","1920","90","Comedy,Drama",7.8,1280,39.5
"121","tt0011870","Within Our Gates","1920","79","Drama,Romance",6.4,1952,36
"124","tt0011909","The Affairs of Anatol","1921","117","Comedy,Drama",7.8,1179,45
"126","tt0012190","The Four Horsemen of the Apocalypse","1921","150","Drama,Romance,War",7.8,2893,44
"129","tt0012349","The Kid","1921","68","Comedy,Drama,Family",8.3,97265,34.5714285714286
"136","tt0012364","The Phantom Carriage","1921","100","Drama,Fantasy,Horror",8.1,8871,40.5
"140","tt0012494","Destiny","1921","97","Drama,Fantasy,Thriller",7.7,4539,38
"143","tt0012532","Orphans of the Storm","1921","150","Drama,History,Romance",7.8,4390,45
"145","tt0012651","The Haunted Castle","1921","75","Crime,Drama,Horror",6.3,1225,43
"148","tt0012675","The Sheik","1921","86","Adventure,Drama,Romance",7.1,2905,28
"151","tt0012763","Tol'able David","1921","99","Drama",7.8,1664,41.3333333333333
"154","tt0012938","Beyond the Rocks","1922","80","Drama,Romance",7.6,2171,41
"156","tt0012952","Blood and Sand","1922","80","Drama,Romance,Sport",7.2,1161,33.5
"158","tt0013075","Dr. Jack","1922","59","Comedy",7.1,1113,45.6666666666667
